problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
cvrp,CVRP,20,ACO,AS,1,20,7.702908720970154,100,cpu,pretrained
cvrp,CVRP,20,ACO,AS,10,200,6.750990424156189,100,cpu,pretrained
cvrp,CVRP,20,ACO,AS,20,400,6.585196399688721,100,cpu,pretrained
cvrp,CVRP,20,ACO,AS,30,600,6.539056687355042,100,cpu,pretrained
cvrp,CVRP,20,ACO,AS,40,800,6.5119861268997195,100,cpu,pretrained
cvrp,CVRP,20,ACO,AS,50,1000,6.504054269790649,100,cpu,pretrained
cvrp,CVRP,20,ACO,AS,100,2000,6.4937545728683475,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,AS,1,20,4.869528737068176,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,AS,10,200,4.6883533930778505,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,AS,20,400,4.663731777668,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,AS,30,600,4.658352618217468,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,AS,40,800,4.6557958745956425,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,AS,50,1000,4.650347900390625,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,AS,100,2000,4.647164044380188,100,cpu,pretrained
cvrp,CVRP,20,ACO,Elitist,1,20,7.7622834587097165,100,cpu,pretrained
cvrp,CVRP,20,ACO,Elitist,10,200,6.80463680267334,100,cpu,pretrained
cvrp,CVRP,20,ACO,Elitist,20,400,6.421835598945617,100,cpu,pretrained
cvrp,CVRP,20,ACO,Elitist,30,600,6.0058593702316285,100,cpu,pretrained
cvrp,CVRP,20,ACO,Elitist,40,800,5.602602152824402,100,cpu,pretrained
cvrp,CVRP,20,ACO,Elitist,50,1000,5.285769219398499,100,cpu,pretrained
cvrp,CVRP,20,ACO,Elitist,100,2000,4.911985392570496,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,Elitist,1,20,4.844457185268402,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,Elitist,10,200,4.666723792552948,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,Elitist,20,400,4.621156272888183,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,Elitist,30,600,4.605855357646942,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,Elitist,40,800,4.59722891330719,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,Elitist,50,1000,4.592072515487671,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,Elitist,100,2000,4.583948431015014,100,cpu,pretrained
cvrp,CVRP,20,ACO,MAX-MIN,1,20,7.673084869384765,100,cpu,pretrained
cvrp,CVRP,20,ACO,MAX-MIN,10,200,6.894176092147827,100,cpu,pretrained
cvrp,CVRP,20,ACO,MAX-MIN,20,400,6.6391688299179075,100,cpu,pretrained
cvrp,CVRP,20,ACO,MAX-MIN,30,600,6.3481665706634525,100,cpu,pretrained
cvrp,CVRP,20,ACO,MAX-MIN,40,800,6.063235211372375,100,cpu,pretrained
cvrp,CVRP,20,ACO,MAX-MIN,50,1000,5.942914867401123,100,cpu,pretrained
cvrp,CVRP,20,ACO,MAX-MIN,100,2000,5.534983053207397,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,MAX-MIN,1,20,4.832998087406159,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,MAX-MIN,10,200,4.650511512756347,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,MAX-MIN,20,400,4.613572533130646,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,MAX-MIN,30,600,4.581478610038757,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,MAX-MIN,40,800,4.572440350055695,100,cpu,pretrained
cvrp,CVRP,20,DeepACO,MAX-MIN,50,1000,4.567241899967193,100,cpu,pretrained
