problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
mkp,MKP,300,ACO,AS,1,20,44.28027719020844,100,cpu,pretrained
mkp,MKP,300,ACO,AS,10,200,47.04208946228027,100,cpu,pretrained
mkp,MKP,300,ACO,AS,20,400,48.98414291381836,100,cpu,pretrained
mkp,MKP,300,ACO,AS,30,600,51.008130912780764,100,cpu,pretrained
mkp,MKP,300,ACO,AS,40,800,53.423792610168455,100,cpu,pretrained
mkp,MKP,300,ACO,AS,50,1000,55.385192489624025,100,cpu,pretrained
mkp,MKP,300,ACO,AS,100,2000,58.695833892822264,100,cpu,pretrained
mkp,MKP,300,DeepACO,AS,1,20,57.800158333778384,100,cpu,pretrained
mkp,MKP,300,DeepACO,AS,10,200,59.00846887588501,100,cpu,pretrained
mkp,MKP,300,DeepACO,AS,20,400,59.48022348880768,100,cpu,pretrained
mkp,MKP,300,DeepACO,AS,30,600,59.816333303451536,100,cpu,pretrained
mkp,MKP,300,DeepACO,AS,40,800,59.994985461235046,100,cpu,pretrained
mkp,MKP,300,DeepACO,AS,50,1000,60.142163438797,100,cpu,pretrained
mkp,MKP,300,DeepACO,AS,100,2000,60.78207518577576,100,cpu,pretrained
mkp,MKP,300,ACO,Elitist,1,20,44.41372747421265,100,cpu,pretrained
mkp,MKP,300,ACO,Elitist,10,200,46.87667340278625,100,cpu,pretrained
mkp,MKP,300,ACO,Elitist,20,400,47.51686486244202,100,cpu,pretrained
mkp,MKP,300,ACO,Elitist,30,600,48.042811479568485,100,cpu,pretrained
mkp,MKP,300,ACO,Elitist,40,800,48.86074891090393,100,cpu,pretrained
mkp,MKP,300,ACO,Elitist,50,1000,50.555700330734254,100,cpu,pretrained
mkp,MKP,300,ACO,Elitist,100,2000,58.0757986164093,100,cpu,pretrained
mkp,MKP,300,DeepACO,Elitist,1,20,57.94791120052338,100,cpu,pretrained
mkp,MKP,300,DeepACO,Elitist,10,200,58.770424523353576,100,cpu,pretrained
mkp,MKP,300,DeepACO,Elitist,20,400,59.00494090557098,100,cpu,pretrained
mkp,MKP,300,DeepACO,Elitist,30,600,59.24687336444855,100,cpu,pretrained
mkp,MKP,300,DeepACO,Elitist,40,800,59.57338958263397,100,cpu,pretrained
mkp,MKP,300,DeepACO,Elitist,50,1000,59.88460213661194,100,cpu,pretrained
mkp,MKP,300,DeepACO,Elitist,100,2000,61.059440536499025,100,cpu,pretrained
mkp,MKP,300,ACO,MAX-MIN,1,20,44.22845415592194,100,cpu,pretrained
mkp,MKP,300,ACO,MAX-MIN,10,200,46.812320027351376,100,cpu,pretrained
mkp,MKP,300,ACO,MAX-MIN,20,400,47.48895994186401,100,cpu,pretrained
mkp,MKP,300,ACO,MAX-MIN,30,600,47.75727075576782,100,cpu,pretrained
mkp,MKP,300,ACO,MAX-MIN,40,800,47.88874593734741,100,cpu,pretrained
mkp,MKP,300,ACO,MAX-MIN,50,1000,48.120184659957886,100,cpu,pretrained
mkp,MKP,300,ACO,MAX-MIN,100,2000,48.675293884277345,100,cpu,pretrained
mkp,MKP,300,DeepACO,MAX-MIN,1,20,57.912511625289916,100,cpu,pretrained
mkp,MKP,300,DeepACO,MAX-MIN,10,200,58.9031236076355,100,cpu,pretrained
mkp,MKP,300,DeepACO,MAX-MIN,20,400,59.15257581710816,100,cpu,pretrained
mkp,MKP,300,DeepACO,MAX-MIN,30,600,59.27432441711426,100,cpu,pretrained
