problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
op,OP,100,ACO,AS,1,20,17.054819173812866,100,cpu,pretrained
op,OP,100,ACO,AS,10,200,21.339006843566896,100,cpu,pretrained
op,OP,100,ACO,AS,20,400,23.995228157043456,100,cpu,pretrained
op,OP,100,ACO,AS,30,600,25.621170597076414,100,cpu,pretrained
op,OP,100,ACO,AS,40,800,26.82292818069458,100,cpu,pretrained
op,OP,100,ACO,AS,50,1000,27.575335369110107,100,cpu,pretrained
op,OP,100,ACO,AS,100,2000,29.300791683197023,100,cpu,pretrained
op,OP,100,DeepACO,AS,1,20,28.914943351745606,100,cpu,pretrained
op,OP,100,DeepACO,AS,10,200,30.335078678131104,100,cpu,pretrained
op,OP,100,DeepACO,AS,20,400,30.484579792022704,100,cpu,pretrained
op,OP,100,DeepACO,AS,30,600,30.59067975997925,100,cpu,pretrained
op,OP,100,DeepACO,AS,40,800,30.6316796875,100,cpu,pretrained
op,OP,100,DeepACO,AS,50,1000,30.66187961578369,100,cpu,pretrained
op,OP,100,DeepACO,AS,100,2000,30.708179740905763,100,cpu,pretrained
op,OP,100,ACO,Elitist,1,20,17.16000997543335,100,cpu,pretrained
op,OP,100,ACO,Elitist,10,200,19.62223831176758,100,cpu,pretrained
op,OP,100,ACO,Elitist,20,400,21.171215057373047,100,cpu,pretrained
op,OP,100,ACO,Elitist,30,600,23.206493949890138,100,cpu,pretrained
op,OP,100,ACO,Elitist,40,800,25.40308183670044,100,cpu,pretrained
op,OP,100,ACO,Elitist,50,1000,27.177522048950195,100,cpu,pretrained
op,OP,100,ACO,Elitist,100,2000,28.5678977394104,100,cpu,pretrained
op,OP,100,DeepACO,Elitist,1,20,28.727088718414308,100,cpu,pretrained
op,OP,100,DeepACO,Elitist,10,200,30.456650562286377,100,cpu,pretrained
op,OP,100,DeepACO,Elitist,20,400,30.94317361831665,100,cpu,pretrained
op,OP,100,DeepACO,Elitist,30,600,31.160192832946777,100,cpu,pretrained
op,OP,100,DeepACO,Elitist,40,800,31.266592922210695,100,cpu,pretrained
op,OP,100,DeepACO,Elitist,50,1000,31.309593029022217,100,cpu,pretrained
op,OP,100,DeepACO,Elitist,100,2000,31.345393104553224,100,cpu,pretrained
op,OP,100,ACO,MAX-MIN,1,20,17.40822931289673,100,cpu,pretrained
op,OP,100,ACO,MAX-MIN,10,200,19.1528231048584,100,cpu,pretrained
op,OP,100,ACO,MAX-MIN,20,400,19.669393882751464,100,cpu,pretrained
op,OP,100,ACO,MAX-MIN,30,600,20.025493869781496,100,cpu,pretrained
op,OP,100,ACO,MAX-MIN,40,800,20.376793956756593,100,cpu,pretrained
op,OP,100,ACO,MAX-MIN,50,1000,21.226994018554688,100,cpu,pretrained
op,OP,100,ACO,MAX-MIN,100,2000,25.11085964202881,100,cpu,pretrained
op,OP,100,DeepACO,MAX-MIN,1,20,28.766830463409423,100,cpu,pretrained
op,OP,100,DeepACO,MAX-MIN,10,200,29.916480808258058,100,cpu,pretrained
op,OP,100,DeepACO,MAX-MIN,20,400,30.262138347625733,100,cpu,pretrained
op,OP,100,DeepACO,MAX-MIN,30,600,30.46273838043213,100,cpu,pretrained
op,OP,100,DeepACO,MAX-MIN,40,800,30.647645568847658,100,cpu,pretrained
op,OP,100,DeepACO,MAX-MIN,50,1000,30.939145488739015,100,cpu,pretrained
op,OP,100,DeepACO,MAX-MIN,100,2000,31.505948753356932,100,cpu,pretrained
op,OP,200,ACO,AS,1,20,21.909552421569824,100,cpu,pretrained
op,OP,200,ACO,AS,10,200,26.151686725616454,100,cpu,pretrained
op,OP,200,ACO,AS,20,400,31.040444221496582,100,cpu,pretrained
op,OP,200,ACO,AS,30,600,36.64985942840576,100,cpu,pretrained
op,OP,200,ACO,AS,40,800,40.98241409301758,100,cpu,pretrained
op,OP,200,ACO,AS,50,1000,44.42120800018311,100,cpu,pretrained
op,OP,200,ACO,AS,100,2000,50.15666046142578,100,cpu,pretrained
op,OP,200,DeepACO,AS,1,20,46.49297664642334,100,cpu,pretrained
op,OP,200,DeepACO,AS,10,200,50.847343349456786,100,cpu,pretrained
op,OP,200,DeepACO,AS,20,400,51.95765544891358,100,cpu,pretrained
op,OP,200,DeepACO,AS,30,600,52.62729787826538,100,cpu,pretrained
op,OP,200,DeepACO,AS,40,800,52.93855745315552,100,cpu,pretrained
op,OP,200,DeepACO,AS,50,1000,53.13485122680664,100,cpu,pretrained
op,OP,200,DeepACO,AS,100,2000,53.64199718475342,100,cpu,pretrained
op,OP,200,ACO,Elitist,1,20,21.689815044403076,100,cpu,pretrained
op,OP,200,ACO,Elitist,10,200,24.348775634765627,100,cpu,pretrained
op,OP,200,ACO,Elitist,20,400,25.796294898986815,100,cpu,pretrained
op,OP,200,ACO,Elitist,30,600,28.08352725982666,100,cpu,pretrained
op,OP,200,ACO,Elitist,40,800,32.038536128997805,100,cpu,pretrained
op,OP,200,ACO,Elitist,50,1000,36.78797155380249,100,cpu,pretrained
op,OP,200,ACO,Elitist,100,2000,44.980826225280765,100,cpu,pretrained
op,OP,200,DeepACO,Elitist,1,20,46.24260400772095,100,cpu,pretrained
op,OP,200,DeepACO,Elitist,10,200,49.656544094085696,100,cpu,pretrained
op,OP,200,DeepACO,Elitist,20,400,51.30751886367798,100,cpu,pretrained
op,OP,200,DeepACO,Elitist,30,600,52.71136138916015,100,cpu,pretrained
op,OP,200,DeepACO,Elitist,40,800,53.83199645996094,100,cpu,pretrained
op,OP,200,DeepACO,Elitist,50,1000,54.28180103302002,100,cpu,pretrained
op,OP,200,DeepACO,Elitist,100,2000,54.91581937789917,100,cpu,pretrained
op,OP,200,ACO,MAX-MIN,1,20,21.883763523101806,100,cpu,pretrained
op,OP,200,ACO,MAX-MIN,10,200,24.268439292907715,100,cpu,pretrained
op,OP,200,ACO,MAX-MIN,20,400,24.910341300964355,100,cpu,pretrained
op,OP,200,ACO,MAX-MIN,30,600,25.291041316986085,100,cpu,pretrained
op,OP,200,ACO,MAX-MIN,40,800,25.534159584045412,100,cpu,pretrained
op,OP,200,ACO,MAX-MIN,50,1000,25.95846664428711,100,cpu,pretrained
op,OP,200,ACO,MAX-MIN,100,2000,28.479785633087157,100,cpu,pretrained
op,OP,200,DeepACO,MAX-MIN,1,20,46.473358688354494,100,cpu,pretrained
op,OP,200,DeepACO,MAX-MIN,10,200,48.58049964904785,100,cpu,pretrained
op,OP,200,DeepACO,MAX-MIN,20,400,49.22510690689087,100,cpu,pretrained
op,OP,200,DeepACO,MAX-MIN,30,600,49.568106746673585,100,cpu,pretrained
op,OP,200,DeepACO,MAX-MIN,40,800,50.10500722885132,100,cpu,pretrained
op,OP,200,DeepACO,MAX-MIN,50,1000,50.5402070236206,100,cpu,pretrained
op,OP,200,DeepACO,MAX-MIN,100,2000,53.84096385955811,100,cpu,pretrained
op,OP,300,ACO,AS,1,20,31.70076240539551,100,cpu,pretrained
op,OP,300,ACO,AS,10,200,37.06930767059326,100,cpu,pretrained
op,OP,300,ACO,AS,20,400,44.30227676391601,100,cpu,pretrained
op,OP,300,ACO,AS,30,600,52.833467979431155,100,cpu,pretrained
op,OP,300,ACO,AS,40,800,59.457142486572266,100,cpu,pretrained
op,OP,300,ACO,AS,50,1000,63.697789421081545,100,cpu,pretrained
op,OP,300,ACO,AS,100,2000,73.121763381958,100,cpu,pretrained
op,OP,300,DeepACO,AS,1,20,71.92142559051514,100,cpu,pretrained
op,OP,300,DeepACO,AS,10,200,78.20485767364502,100,cpu,pretrained
op,OP,300,DeepACO,AS,20,400,79.56660194396973,100,cpu,pretrained
op,OP,300,DeepACO,AS,30,600,80.47067146301269,100,cpu,pretrained
op,OP,300,DeepACO,AS,40,800,80.90974853515625,100,cpu,pretrained
op,OP,300,DeepACO,AS,50,1000,81.2979418182373,100,cpu,pretrained
op,OP,300,DeepACO,AS,100,2000,82.20491233825683,100,cpu,pretrained
op,OP,300,ACO,Elitist,1,20,31.09701717376709,100,cpu,pretrained
op,OP,300,ACO,Elitist,10,200,34.78771308898926,100,cpu,pretrained
op,OP,300,ACO,Elitist,20,400,36.428551540374755,100,cpu,pretrained
op,OP,300,ACO,Elitist,30,600,39.71812938690186,100,cpu,pretrained
op,OP,300,ACO,Elitist,40,800,45.12107276916504,100,cpu,pretrained
op,OP,300,ACO,Elitist,50,1000,51.006347541809085,100,cpu,pretrained
op,OP,300,ACO,Elitist,100,2000,64.49900093078614,100,cpu,pretrained
op,OP,300,DeepACO,Elitist,1,20,72.15860511779785,100,cpu,pretrained
op,OP,300,DeepACO,Elitist,10,200,76.43291103363038,100,cpu,pretrained
op,OP,300,DeepACO,Elitist,20,400,78.61960144042969,100,cpu,pretrained
op,OP,300,DeepACO,Elitist,30,600,80.60785667419434,100,cpu,pretrained
op,OP,300,DeepACO,Elitist,40,800,82.077666015625,100,cpu,pretrained
op,OP,300,DeepACO,Elitist,50,1000,83.20050605773926,100,cpu,pretrained
op,OP,300,DeepACO,Elitist,100,2000,84.26931060791016,100,cpu,pretrained
op,OP,300,ACO,MAX-MIN,1,20,31.33482810974121,100,cpu,pretrained
op,OP,300,ACO,MAX-MIN,10,200,34.784156494140625,100,cpu,pretrained
op,OP,300,ACO,MAX-MIN,20,400,35.443307056427,100,cpu,pretrained
op,OP,300,ACO,MAX-MIN,30,600,35.99826374053955,100,cpu,pretrained
op,OP,300,ACO,MAX-MIN,40,800,36.307430286407474,100,cpu,pretrained
op,OP,300,ACO,MAX-MIN,50,1000,36.816325969696045,100,cpu,pretrained
op,OP,300,ACO,MAX-MIN,100,2000,39.73121395111084,100,cpu,pretrained
op,OP,300,DeepACO,MAX-MIN,1,20,71.79177005767822,100,cpu,pretrained
op,OP,300,DeepACO,MAX-MIN,10,200,74.88790515899659,100,cpu,pretrained
op,OP,300,DeepACO,MAX-MIN,20,400,75.6060140991211,100,cpu,pretrained
