problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
pctsp,PCTSP,20,ACO,AS,1,20,10.811007604598998,100,cpu,pretrained
pctsp,PCTSP,20,ACO,AS,10,200,8.623197894096375,100,cpu,pretrained
pctsp,PCTSP,20,ACO,AS,20,400,7.712437996864319,100,cpu,pretrained
pctsp,PCTSP,20,ACO,AS,30,600,7.274545526504516,100,cpu,pretrained
pctsp,PCTSP,20,ACO,AS,40,800,6.99527412891388,100,cpu,pretrained
pctsp,PCTSP,20,ACO,AS,50,1000,6.809558124542236,100,cpu,pretrained
pctsp,PCTSP,20,ACO,AS,100,2000,6.392197546958923,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,AS,1,20,4.669727897644043,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,AS,10,200,4.1247844934463505,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,AS,20,400,4.051733953952789,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,AS,30,600,4.003649611473083,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,AS,40,800,3.9739803814888,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,AS,50,1000,3.9574033188819886,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,AS,100,2000,3.9274808883666994,100,cpu,pretrained
pctsp,PCTSP,20,ACO,Elitist,1,20,10.811007604598998,100,cpu,pretrained
pctsp,PCTSP,20,ACO,Elitist,10,200,10.057409467697143,100,cpu,pretrained
pctsp,PCTSP,20,ACO,Elitist,20,400,9.872050619125366,100,cpu,pretrained
pctsp,PCTSP,20,ACO,Elitist,30,600,9.74348566055298,100,cpu,pretrained
pctsp,PCTSP,20,ACO,Elitist,40,800,9.649099826812744,100,cpu,pretrained
pctsp,PCTSP,20,ACO,Elitist,50,1000,9.592013187408448,100,cpu,pretrained
pctsp,PCTSP,20,ACO,Elitist,100,2000,9.555238752365112,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,Elitist,1,20,4.6752011013031005,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,Elitist,10,200,4.3958821606636045,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,Elitist,20,400,4.376123998165131,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,Elitist,30,600,4.373592669963837,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,Elitist,40,800,4.373592669963837,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,Elitist,50,1000,4.373592669963837,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,Elitist,100,2000,4.373592669963837,100,cpu,pretrained
pctsp,PCTSP,20,ACO,MAX-MIN,1,20,10.811007604598998,100,cpu,pretrained
pctsp,PCTSP,20,ACO,MAX-MIN,10,200,10.04161018371582,100,cpu,pretrained
pctsp,PCTSP,20,ACO,MAX-MIN,20,400,9.877410326004028,100,cpu,pretrained
pctsp,PCTSP,20,ACO,MAX-MIN,30,600,9.756680555343628,100,cpu,pretrained
pctsp,PCTSP,20,ACO,MAX-MIN,40,800,9.665853595733642,100,cpu,pretrained
pctsp,PCTSP,20,ACO,MAX-MIN,50,1000,9.619938468933105,100,cpu,pretrained
pctsp,PCTSP,20,ACO,MAX-MIN,100,2000,9.502283515930175,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,MAX-MIN,1,20,4.667518706321716,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,MAX-MIN,10,200,4.364796438217163,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,MAX-MIN,20,400,4.32515907049179,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,MAX-MIN,30,600,4.32163605928421,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,MAX-MIN,40,800,4.320564045906067,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,MAX-MIN,50,1000,4.320473070144653,100,cpu,pretrained
pctsp,PCTSP,20,DeepACO,MAX-MIN,100,2000,4.317742023468018,100,cpu,pretrained
pctsp,PCTSP,100,ACO,AS,1,20,42.59277877807617,100,cpu,pretrained
pctsp,PCTSP,100,ACO,AS,10,200,39.00750301361084,100,cpu,pretrained
pctsp,PCTSP,100,ACO,AS,20,400,33.948761558532716,100,cpu,pretrained
pctsp,PCTSP,100,ACO,AS,30,600,26.912314739227295,100,cpu,pretrained
pctsp,PCTSP,100,ACO,AS,40,800,21.89473617553711,100,cpu,pretrained
pctsp,PCTSP,100,ACO,AS,50,1000,19.232830181121827,100,cpu,pretrained
pctsp,PCTSP,100,ACO,AS,100,2000,15.846537075042725,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,AS,1,20,9.872188682556152,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,AS,10,200,8.98290346622467,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,AS,20,400,8.738291845321655,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,AS,30,600,8.577345452308656,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,AS,40,800,8.45865131855011,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,AS,50,1000,8.377407922744752,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,AS,100,2000,8.149712653160096,100,cpu,pretrained
pctsp,PCTSP,100,ACO,Elitist,1,20,42.59277877807617,100,cpu,pretrained
pctsp,PCTSP,100,ACO,Elitist,10,200,40.80840995788574,100,cpu,pretrained
pctsp,PCTSP,100,ACO,Elitist,20,400,40.31713912963867,100,cpu,pretrained
pctsp,PCTSP,100,ACO,Elitist,30,600,39.881373748779296,100,cpu,pretrained
pctsp,PCTSP,100,ACO,Elitist,40,800,38.64412055969238,100,cpu,pretrained
pctsp,PCTSP,100,ACO,Elitist,50,1000,35.68602230072022,100,cpu,pretrained
pctsp,PCTSP,100,ACO,Elitist,100,2000,25.598982315063477,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,Elitist,1,20,9.903290748596191,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,Elitist,10,200,9.264558219909668,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,Elitist,20,400,9.140143728256225,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,Elitist,30,600,9.072749156951904,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,Elitist,40,800,9.038213787078858,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,Elitist,50,1000,9.017917737960815,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,Elitist,100,2000,9.010858573913573,100,cpu,pretrained
pctsp,PCTSP,100,ACO,MAX-MIN,1,20,42.59277877807617,100,cpu,pretrained
pctsp,PCTSP,100,ACO,MAX-MIN,10,200,40.87913803100586,100,cpu,pretrained
pctsp,PCTSP,100,ACO,MAX-MIN,20,400,40.413239326477054,100,cpu,pretrained
pctsp,PCTSP,100,ACO,MAX-MIN,30,600,40.15971031188965,100,cpu,pretrained
pctsp,PCTSP,100,ACO,MAX-MIN,40,800,40.05498096466064,100,cpu,pretrained
pctsp,PCTSP,100,ACO,MAX-MIN,50,1000,39.98748882293701,100,cpu,pretrained
pctsp,PCTSP,100,ACO,MAX-MIN,100,2000,39.813350410461425,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,MAX-MIN,1,20,9.835919818878175,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,MAX-MIN,10,200,9.289467716217041,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,MAX-MIN,20,400,9.20431981086731,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,MAX-MIN,30,600,9.149024057388306,100,cpu,pretrained
pctsp,PCTSP,100,DeepACO,MAX-MIN,40,800,9.092529754638672,100,cpu,pretrained
