problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
rcpsp,RCPSP,30,ACO,AS,1,20,63.9,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,AS,10,200,60.36,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,AS,20,400,59.9,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,AS,30,600,59.79,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,AS,40,800,59.66,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,AS,50,1000,59.64,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,AS,100,2000,59.51,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,AS,1,20,61.07,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,AS,10,200,59.12,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,AS,20,400,58.71,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,AS,30,600,58.6,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,AS,40,800,58.46,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,AS,50,1000,58.31,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,AS,100,2000,58.25,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,Elitist,1,20,63.9,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,Elitist,10,200,60.19,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,Elitist,20,400,59.44,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,Elitist,30,600,59.23,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,Elitist,40,800,59.02,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,Elitist,50,1000,58.84,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,Elitist,100,2000,58.54,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,Elitist,1,20,61.07,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,Elitist,10,200,59.02,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,Elitist,20,400,58.42,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,Elitist,30,600,58.14,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,Elitist,40,800,57.96,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,Elitist,50,1000,57.93,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,Elitist,100,2000,57.59,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,MAX-MIN,1,20,63.9,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,MAX-MIN,10,200,60.33,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,MAX-MIN,20,400,59.69,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,MAX-MIN,30,600,59.43,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,MAX-MIN,40,800,59.19,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,MAX-MIN,50,1000,58.97,100,cpu,pretrained
rcpsp,RCPSP,30,ACO,MAX-MIN,100,2000,58.72,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,MAX-MIN,1,20,61.07,100,cpu,pretrained
rcpsp,RCPSP,30,DeepACO,MAX-MIN,10,200,58.91,100,cpu,pretrained
