problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
smtwtp,SMTWTP,50,ACO,AS,1,20,6.035679983347654,100,cpu,pretrained
smtwtp,SMTWTP,50,ACO,AS,10,200,3.148405057005584,100,cpu,pretrained
smtwtp,SMTWTP,50,ACO,AS,20,400,2.271131050521508,100,cpu,pretrained
smtwtp,SMTWTP,50,ACO,AS,30,600,1.8237954755872487,100,cpu,pretrained
smtwtp,SMTWTP,50,ACO,AS,40,800,1.4642032730323262,100,cpu,pretrained
smtwtp,SMTWTP,50,ACO,AS,50,1000,1.2527828215062617,100,cpu,pretrained
smtwtp,SMTWTP,50,ACO,AS,100,2000,0.7733169448934496,100,cpu,pretrained
smtwtp,SMTWTP,50,DeepACO,AS,1,20,0.25119888360612097,100,cpu,pretrained
smtwtp,SMTWTP,50,DeepACO,AS,10,200,0.2352514175104443,100,cpu,pretrained
smtwtp,SMTWTP,50,DeepACO,AS,20,400,0.23190120590501465,100,cpu,pretrained
smtwtp,SMTWTP,50,DeepACO,AS,30,600,0.2309579185920302,100,cpu,pretrained
smtwtp,SMTWTP,50,DeepACO,AS,40,800,0.23073533549788408,100,cpu,pretrained
smtwtp,SMTWTP,50,DeepACO,AS,50,1000,0.23073533549788408,100,cpu,pretrained
smtwtp,SMTWTP,50,DeepACO,AS,100,2000,0.22979074824484996,100,cpu,pretrained
smtwtp,SMTWTP,50,ACO,Elitist,1,20,6.035679983347654,100,cpu,pretrained
smtwtp,SMTWTP,50,ACO,Elitist,10,200,3.358429547250271,100,cpu,pretrained
smtwtp,SMTWTP,50,ACO,Elitist,20,400,2.6876679278566735,100,cpu,pretrained
smtwtp,SMTWTP,50,ACO,Elitist,30,600,2.374008173374459,100,cpu,pretrained
smtwtp,SMTWTP,50,ACO,Elitist,40,800,1.9553622252121567,100,cpu,pretrained
smtwtp,SMTWTP,50,ACO,Elitist,50,1000,1.646739655584097,100,cpu,pretrained
smtwtp,SMTWTP,50,ACO,Elitist,100,2000,0.7471871961513534,100,cpu,pretrained
smtwtp,SMTWTP,50,DeepACO,Elitist,1,20,0.25119888360612097,100,cpu,pretrained
smtwtp,SMTWTP,50,DeepACO,Elitist,10,200,0.2307627249090001,100,cpu,pretrained
smtwtp,SMTWTP,50,DeepACO,Elitist,20,400,0.22809918742161245,100,cpu,pretrained
smtwtp,SMTWTP,50,DeepACO,Elitist,30,600,0.22669182881247252,100,cpu,pretrained
smtwtp,SMTWTP,50,DeepACO,Elitist,40,800,0.22654382690321653,100,cpu,pretrained
