problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
sop,SOP,20,ACO,AS,1,20,15.725427799224853,100,cpu,pretrained
sop,SOP,20,ACO,AS,10,200,14.747614860534668,100,cpu,pretrained
sop,SOP,20,ACO,AS,20,400,14.564842157363891,100,cpu,pretrained
sop,SOP,20,ACO,AS,30,600,14.45965347290039,100,cpu,pretrained
sop,SOP,20,ACO,AS,40,800,14.395025959014893,100,cpu,pretrained
sop,SOP,20,ACO,AS,50,1000,14.364797525405884,100,cpu,pretrained
sop,SOP,20,ACO,AS,100,2000,14.334734630584716,100,cpu,pretrained
sop,SOP,20,DeepACO,AS,1,20,13.677800121307373,100,cpu,pretrained
sop,SOP,20,DeepACO,AS,10,200,13.358666725158692,100,cpu,pretrained
sop,SOP,20,DeepACO,AS,20,400,13.313695106506348,100,cpu,pretrained
sop,SOP,20,DeepACO,AS,30,600,13.29868863105774,100,cpu,pretrained
sop,SOP,20,DeepACO,AS,40,800,13.293067617416382,100,cpu,pretrained
sop,SOP,20,DeepACO,AS,50,1000,13.282057161331176,100,cpu,pretrained
sop,SOP,20,DeepACO,AS,100,2000,13.270440149307252,100,cpu,pretrained
sop,SOP,20,ACO,Elitist,1,20,15.725427799224853,100,cpu,pretrained
sop,SOP,20,ACO,Elitist,10,200,14.814902124404908,100,cpu,pretrained
sop,SOP,20,ACO,Elitist,20,400,14.351363506317139,100,cpu,pretrained
sop,SOP,20,ACO,Elitist,30,600,13.983702430725097,100,cpu,pretrained
sop,SOP,20,ACO,Elitist,40,800,13.689256381988525,100,cpu,pretrained
sop,SOP,20,ACO,Elitist,50,1000,13.496313276290893,100,cpu,pretrained
sop,SOP,20,ACO,Elitist,100,2000,13.401966562271118,100,cpu,pretrained
sop,SOP,20,DeepACO,Elitist,1,20,13.677800121307373,100,cpu,pretrained
sop,SOP,20,DeepACO,Elitist,10,200,13.22833553314209,100,cpu,pretrained
sop,SOP,20,DeepACO,Elitist,20,400,13.166975297927856,100,cpu,pretrained
sop,SOP,20,DeepACO,Elitist,30,600,13.128244676589965,100,cpu,pretrained
sop,SOP,20,DeepACO,Elitist,40,800,13.111414604187011,100,cpu,pretrained
sop,SOP,20,DeepACO,Elitist,50,1000,13.108772592544556,100,cpu,pretrained
sop,SOP,20,DeepACO,Elitist,100,2000,13.10134048461914,100,cpu,pretrained
sop,SOP,20,ACO,MAX-MIN,1,20,15.725427799224853,100,cpu,pretrained
sop,SOP,20,ACO,MAX-MIN,10,200,14.807151765823365,100,cpu,pretrained
