problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
tsp,TSP,20,ACO,AS,1,20,5.28496870379895,1280,cuda:0,pretrained
tsp,TSP,20,ACO,AS,10,200,4.26242141649127,1280,cuda:0,pretrained
tsp,TSP,20,ACO,AS,20,400,4.073290107958019,1280,cuda:0,pretrained
tsp,TSP,20,ACO,AS,30,600,3.9922571282833816,1280,cuda:0,pretrained
tsp,TSP,20,ACO,AS,40,800,3.949662782251835,1280,cuda:0,pretrained
tsp,TSP,20,ACO,AS,50,1000,3.923347073979676,1280,cuda:0,pretrained
tsp,TSP,20,ACO,AS,100,2000,3.873155082762241,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,AS,1,20,3.9667573757469654,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,AS,10,200,3.8644724106416106,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,AS,20,400,3.856153472326696,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,AS,30,600,3.8532130092382433,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,AS,40,800,3.8514995319768786,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,AS,50,1000,3.8505627842620016,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,AS,100,2000,3.8484825771301985,1280,cuda:0,pretrained
tsp,TSP,20,ACO,Elitist,1,20,5.28496870379895,1280,cuda:0,pretrained
tsp,TSP,20,ACO,Elitist,10,200,4.568196900375187,1280,cuda:0,pretrained
tsp,TSP,20,ACO,Elitist,20,400,4.200474382564425,1280,cuda:0,pretrained
tsp,TSP,20,ACO,Elitist,30,600,3.980680836737156,1280,cuda:0,pretrained
tsp,TSP,20,ACO,Elitist,40,800,3.8941776428371666,1280,cuda:0,pretrained
tsp,TSP,20,ACO,Elitist,50,1000,3.867724865861237,1280,cuda:0,pretrained
tsp,TSP,20,ACO,Elitist,100,2000,3.8553643552586436,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,Elitist,1,20,3.9667573757469654,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,Elitist,10,200,3.862457535043359,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,Elitist,20,400,3.8518107172101734,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,Elitist,30,600,3.8484166035428644,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,Elitist,40,800,3.8468329085037114,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,Elitist,50,1000,3.846156558394432,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,Elitist,100,2000,3.845297053270042,1280,cuda:0,pretrained
tsp,TSP,20,ACO,MAX-MIN,1,20,5.28496870379895,1280,cuda:0,pretrained
tsp,TSP,20,ACO,MAX-MIN,10,200,4.740976624935866,1280,cuda:0,pretrained
tsp,TSP,20,ACO,MAX-MIN,20,400,4.482207855209708,1280,cuda:0,pretrained
tsp,TSP,20,ACO,MAX-MIN,30,600,4.216710088402033,1280,cuda:0,pretrained
tsp,TSP,20,ACO,MAX-MIN,40,800,4.005988454259932,1280,cuda:0,pretrained
tsp,TSP,20,ACO,MAX-MIN,50,1000,3.917639496922493,1280,cuda:0,pretrained
tsp,TSP,20,ACO,MAX-MIN,100,2000,3.856671144999564,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,MAX-MIN,1,20,3.9667573757469654,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,MAX-MIN,10,200,3.8716729775071146,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,MAX-MIN,20,400,3.856451741978526,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,MAX-MIN,30,600,3.8502518732100723,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,MAX-MIN,40,800,3.847790129482746,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,MAX-MIN,50,1000,3.846678861230612,1280,cuda:0,pretrained
tsp,TSP,20,DeepACO,MAX-MIN,100,2000,3.844700088724494,1280,cuda:0,pretrained
tsp,TSP,100,ACO,AS,1,20,13.648833006620407,1280,cuda:0,pretrained
tsp,TSP,100,ACO,AS,10,200,11.502676850557327,1280,cuda:0,pretrained
tsp,TSP,100,ACO,AS,20,400,10.778558938950301,1280,cuda:0,pretrained
tsp,TSP,100,ACO,AS,30,600,10.397312042862177,1280,cuda:0,pretrained
tsp,TSP,100,ACO,AS,40,800,10.156334316730499,1280,cuda:0,pretrained
tsp,TSP,100,ACO,AS,50,1000,9.983305576443673,1280,cuda:0,pretrained
tsp,TSP,100,ACO,AS,100,2000,9.555632726103067,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,AS,1,20,9.184611693024635,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,AS,10,200,8.616447297483683,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,AS,20,400,8.4941895224154,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,AS,30,600,8.435083606094121,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,AS,40,800,8.397208935022354,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,AS,50,1000,8.370210751146079,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,AS,100,2000,8.303534243255854,1280,cuda:0,pretrained
tsp,TSP,100,ACO,Elitist,1,20,13.648833006620407,1280,cuda:0,pretrained
tsp,TSP,100,ACO,Elitist,10,200,12.626513334363699,1280,cuda:0,pretrained
tsp,TSP,100,ACO,Elitist,20,400,11.999302579462528,1280,cuda:0,pretrained
tsp,TSP,100,ACO,Elitist,30,600,11.332218459993602,1280,cuda:0,pretrained
tsp,TSP,100,ACO,Elitist,40,800,10.769761361926793,1280,cuda:0,pretrained
tsp,TSP,100,ACO,Elitist,50,1000,10.34218768030405,1280,cuda:0,pretrained
tsp,TSP,100,ACO,Elitist,100,2000,9.245914595946669,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,Elitist,1,20,9.184611693024635,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,Elitist,10,200,8.765714029595255,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,Elitist,20,400,8.606998608261346,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,Elitist,30,600,8.486178550124169,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,Elitist,40,800,8.396275064721703,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,Elitist,50,1000,8.33298507221043,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,Elitist,100,2000,8.178209642320871,1280,cuda:0,pretrained
tsp,TSP,100,ACO,MAX-MIN,1,20,13.648833006620407,1280,cuda:0,pretrained
tsp,TSP,100,ACO,MAX-MIN,10,200,12.805738049000501,1280,cuda:0,pretrained
tsp,TSP,100,ACO,MAX-MIN,20,400,12.539187302440405,1280,cuda:0,pretrained
tsp,TSP,100,ACO,MAX-MIN,30,600,12.256112001091243,1280,cuda:0,pretrained
tsp,TSP,100,ACO,MAX-MIN,40,800,11.814047282189131,1280,cuda:0,pretrained
tsp,TSP,100,ACO,MAX-MIN,50,1000,11.350979553163052,1280,cuda:0,pretrained
tsp,TSP,100,ACO,MAX-MIN,100,2000,10.786921229213476,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,MAX-MIN,1,20,9.184611693024635,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,MAX-MIN,10,200,8.829954387247563,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,MAX-MIN,20,400,8.736709137633444,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,MAX-MIN,30,600,8.66095971800387,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,MAX-MIN,40,800,8.576664530858398,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,MAX-MIN,50,1000,8.493705163151025,1280,cuda:0,pretrained
tsp,TSP,100,DeepACO,MAX-MIN,100,2000,8.34004622772336,1280,cuda:0,pretrained
tsp,TSP,500,ACO,AS,1,20,52.23023718595505,128,cuda:0,pretrained
tsp,TSP,500,ACO,AS,10,200,47.21363100409508,128,cuda:0,pretrained
tsp,TSP,500,ACO,AS,20,400,40.119082897901535,128,cuda:0,pretrained
tsp,TSP,500,ACO,AS,30,600,33.97982668876648,128,cuda:0,pretrained
tsp,TSP,500,ACO,AS,40,800,30.294790983200073,128,cuda:0,pretrained
tsp,TSP,500,ACO,AS,50,1000,28.087184235453606,128,cuda:0,pretrained
tsp,TSP,500,ACO,AS,100,2000,24.90823495388031,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,AS,1,20,20.936850756406784,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,AS,10,200,19.795399844646454,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,AS,20,400,19.439092740416527,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,AS,30,600,19.22660931944847,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,AS,40,800,19.107096657156944,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,AS,50,1000,19.042493879795074,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,AS,100,2000,18.86339323222637,128,cuda:0,pretrained
tsp,TSP,500,ACO,Elitist,1,20,52.23023718595505,128,cuda:0,pretrained
tsp,TSP,500,ACO,Elitist,10,200,50.77875801920891,128,cuda:0,pretrained
tsp,TSP,500,ACO,Elitist,20,400,49.97124347090721,128,cuda:0,pretrained
tsp,TSP,500,ACO,Elitist,30,600,47.9493787586689,128,cuda:0,pretrained
tsp,TSP,500,ACO,Elitist,40,800,43.71926885843277,128,cuda:0,pretrained
tsp,TSP,500,ACO,Elitist,50,1000,38.13756847381592,128,cuda:0,pretrained
tsp,TSP,500,ACO,Elitist,100,2000,27.191132962703705,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,Elitist,1,20,20.936850756406784,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,Elitist,10,200,20.440456345677376,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,Elitist,20,400,20.124703004956245,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,Elitist,30,600,19.791222721338272,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,Elitist,40,800,19.51553763449192,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,Elitist,50,1000,19.323828473687172,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,Elitist,100,2000,18.897798404097557,128,cuda:0,pretrained
tsp,TSP,500,ACO,MAX-MIN,1,20,52.23023718595505,128,cuda:0,pretrained
tsp,TSP,500,ACO,MAX-MIN,10,200,51.01548579335213,128,cuda:0,pretrained
tsp,TSP,500,ACO,MAX-MIN,20,400,50.62984645366669,128,cuda:0,pretrained
tsp,TSP,500,ACO,MAX-MIN,30,600,50.33432802557945,128,cuda:0,pretrained
tsp,TSP,500,ACO,MAX-MIN,40,800,49.83177173137665,128,cuda:0,pretrained
tsp,TSP,500,ACO,MAX-MIN,50,1000,49.292920380830765,128,cuda:0,pretrained
tsp,TSP,500,ACO,MAX-MIN,100,2000,49.26117271184921,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,MAX-MIN,1,20,20.936850756406784,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,MAX-MIN,10,200,20.54262648522854,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,MAX-MIN,20,400,20.441608369350433,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,MAX-MIN,30,600,20.372866064310074,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,MAX-MIN,40,800,20.27160882949829,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,MAX-MIN,50,1000,20.064248383045197,128,cuda:0,pretrained
tsp,TSP,500,DeepACO,MAX-MIN,100,2000,19.715435966849327,128,cuda:0,pretrained
